Date,Event,Category,Description
1990-08-02,Gulf War Begins,Geopolitical,"Iraq invades Kuwait leading to severe Middle East crude oil supply disruption and price spike."
1997-07-02,Asian Financial Crisis,Economic,"Financial crisis originating in East Asia leads to reduced global oil demand and sharp price decline."
2001-09-11,September 11 Attacks,Geopolitical,"Terrorist attacks in the US prompt global aviation downturn and temporary oil demand contraction."
2003-03-20,Iraq War Invasion,Geopolitical,"US-led coalition invades Iraq causing Middle East geopolitical tension and oil supply uncertainty."
2008-09-15,Global Financial Crisis Peak,Economic,"Lehman Brothers bankruptcy triggers global recession and severe crude oil price collapse from peak."
2011-02-15,Libyan Civil War (Arab Spring),Geopolitical,"Conflict in Libya halts high-quality light sweet crude production, causing global price surge."
2014-11-27,OPEC Production Quota Decision,OPEC,"OPEC declines to cut production to preserve market share against US shale, initiating 2014-2016 price crash."
2016-01-16,Iran Nuclear Deal Implementation,Geopolitical,"Lifting of Western sanctions on Iran allows Iranian crude exports to re-enter global market."
2016-12-10,OPEC+ Declaration of Cooperation,OPEC,"OPEC and non-OPEC producers (OPEC+) sign landmark agreement to curtail oil output and stabilize prices."
2018-05-08,US JCPOA Withdrawal,Geopolitical,"US withdraws from Iran nuclear deal and re-imposes oil export sanctions on Iran."
2019-09-14,Abqaiq-Khurais Drone Attack,Geopolitical,"Drone strikes on Saudi Aramco processing plants briefly knock out ~5% of global oil production."
2020-03-11,COVID-19 Global Pandemic,Economic,"WHO declares global pandemic causing unprecedented global travel lockdowns and oil demand crash."
2020-04-20,OPEC+ Price War & WTI Crash,OPEC,"Price war between Saudi Arabia and Russia leads to massive supply glut and temporary negative WTI futures."
2022-02-24,Russia Invades Ukraine,Geopolitical,"Full-scale invasion triggers major Western energy sanctions on Russia and surge in global Brent prices."
