Date,Event
1990-08-02,Gulf War begins (Iraq invades Kuwait)
1997-07-02,Asian Financial Crisis begins
2001-09-11,September 11 terrorist attacks in the US
2003-03-20,Iraq War begins (US invasion of Iraq)
2008-09-15,Global Financial Crisis peak (Lehman Brothers bankruptcy)
2011-02-15,Libyan Civil War begins (Arab Spring)
2014-11-27,OPEC meeting (declined to cut production, price crash)
2016-01-16,Iran nuclear deal implementation (lifting sanctions)
2016-12-10,OPEC and non-OPEC (OPEC+) production cut agreement
2018-05-08,US withdraws from JCPOA (reimposes Iran sanctions)
2019-09-14,Drone attacks on Saudi Aramco oil facilities
2020-03-11,COVID-19 declared a global pandemic by WHO
2020-04-20,OPEC+ price war and negative WTI oil prices
2022-02-24,Russia invades Ukraine (triggers sanctions and energy crisis)
